water_saturation,water_relative_permeability,oil_relative_permeability,water_oil_capillary_pressure,iteration,N_w,N_o,coef_water,day,well_type,oil_prod,water_prod,gas_prod,res_vol_prod,oil_inj,water_inj,gas_inj,res_vol_inj
0.12,0.0,0.6801081864480486,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.12,0.0,0.6801081864480486,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.18,0.04,0.5496559468109163,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.18,0.04,0.5496559468109163,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.24,0.07,0.4370921456614717,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.24,0.07,0.4370921456614717,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.3,0.09,0.341088161397538,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.3,0.09,0.341088161397538,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.36,0.12,0.26031701854345135,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.36,0.12,0.26031701854345135,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.42,0.15,0.19345352719887193,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.42,0.15,0.19345352719887193,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.48,0.18,0.13917444862253792,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.48,0.18,0.13917444862253792,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.54,0.22,0.09615869511570245,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.54,0.22,0.09615869511570245,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.6,0.25,0.06308757619118284,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.6,0.25,0.06308757619118284,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.66,0.29,0.038645109385322424,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.66,0.29,0.038645109385322424,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.72,0.33,0.021518425370077657,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.72,0.33,0.021518425370077657,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.78,0.37,0.010398318731380451,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.78,0.37,0.010398318731380451,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.84,0.42,0.003980042269678302,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.84,0.42,0.003980042269678302,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.91,0.47,0.0007020037405778715,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
0.91,0.47,0.0007020037405778715,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
1.0,0.54,0.0,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,PROD,44115.5,39.3,352.3,286760.1,0.0,0.0,0.0,0.0
1.0,0.54,0.0,0.0,0,1.4772235901222732,3.0156710348452025,0.54,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252032.8
0.12,0.0,0.7727072919963506,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,PROD,44654.9,57.5,353.5,289188.3,0.0,0.0,0.0,0.0
0.12,0.0,0.7727072919963506,0.0,1,1.4772235901222732,2.017117783934511,0.82,3650,INJ,0.0,0.0,0.0,0.0,0.0,0.0,365.0,252772.3
